query,src_folder,src_dialect,tgt_dialect,level,difficulty,committed_transpile_ok,committed_footprint_equiv,recomputed_footprint_equiv,relaxed_equiv,exec_equiv,note
window_function_row_number,mysql,mysql,mysql,advanced,hard,True,True,True,True,,
window_function_row_number,mysql,mysql,tsql,advanced,hard,True,True,True,True,,
window_function_row_number,mysql,mysql,oracle,advanced,hard,True,True,True,True,,
window_function_row_number,mysql,mysql,snowflake,advanced,hard,True,True,True,True,,
recursive_cte,mysql,mysql,postgres,advanced,hard,True,True,True,True,,
recursive_cte,mysql,mysql,mysql,advanced,hard,True,True,True,True,,
recursive_cte,mysql,mysql,tsql,advanced,hard,True,True,True,True,,
recursive_cte,mysql,mysql,oracle,advanced,hard,True,True,True,True,,
recursive_cte,mysql,mysql,snowflake,advanced,hard,True,True,True,True,,
complex_join_aggregation,mysql,mysql,postgres,advanced,hard,True,False,False,False,,
complex_join_aggregation,mysql,mysql,mysql,advanced,hard,True,True,True,True,,
complex_join_aggregation,mysql,mysql,tsql,advanced,hard,True,True,True,True,,
complex_join_aggregation,mysql,mysql,oracle,advanced,hard,True,True,True,True,,
complex_join_aggregation,mysql,mysql,snowflake,advanced,hard,True,False,False,False,,
